Electorate name,National Party percentage,Labour Party percentage,Green percentage,ACT percentage,NZ First percentage,Māori percentage,TOP percentage,Others percentage
Auckland Central,36.9495,7.5711,48.2596,3.5852,0.0000,0.0000,1.3412,2.2934
Banks Peninsula,36.5302,35.7203,17.0277,4.2400,3.2685,0.0000,0.0000,3.2133
Bay of Plenty,52.2876,17.7216,9.0560,9.4285,9.0313,0.0000,0.0000,2.4749
Botany,67.8120,23.1233,0.0000,5.3633,0.0000,0.0000,0.0000,3.7015
Christchurch Central,35.4132,40.1679,14.0522,3.6028,4.0367,0.0000,0.0000,2.7273
Christchurch East,33.3012,39.5539,11.9838,4.3798,5.2954,0.0000,0.0000,5.4858
Coromandel,54.2759,16.7337,10.6899,5.9314,6.8056,0.0000,0.0000,5.5635
Dunedin,21.8654,40.9746,19.2313,4.0613,3.1226,0.0000,4.5283,6.2165
East Coast,43.1201,35.0093,4.4750,4.8756,6.3817,3.1313,0.0000,3.0070
East Coast Bays,72.4696,19.1964,0.0000,4.1461,0.0000,0.0000,0.0000,4.1879
Epsom,24.3463,15.5596,8.8923,44.8160,1.4406,0.0000,4.5329,0.4123
Hamilton East,48.4454,34.7889,0.0000,4.5315,3.2549,3.3116,3.2252,2.4425
Hamilton West,46.8176,29.5540,8.5945,5.8964,4.6219,0.0000,2.7886,1.7269
Hutt South,44.7436,41.6304,5.8243,1.2995,2.8701,0.0000,2.2905,1.3416
Ilam,44.4289,21.4147,5.6828,0.0000,0.0000,0.0000,25.8188,2.6548
Invercargill,56.4308,29.6669,0.0000,5.3940,0.0000,0.0000,0.0000,8.5084
Kaikōura,49.9651,22.4736,6.0514,6.3212,10.4719,0.0000,0.0000,4.7168
Kaipara ki Mahurangi,58.1495,18.1392,9.7440,6.1067,5.2041,0.0000,0.0000,2.6565
Kelston,30.8814,44.4338,11.6441,5.4691,3.5207,2.0933,0.0000,1.9576
Mana,31.2893,49.0898,10.2856,2.9044,4.4914,0.0000,0.0000,1.9395
Māngere,19.7888,61.2869,9.5667,2.3740,0.0000,3.3094,0.0000,3.6743
Manurewa,32.6668,58.0667,0.0000,0.0000,0.0000,5.7278,0.0000,3.5388
Maungakiekie,48.4052,35.2217,8.9603,3.6864,2.6270,0.0000,0.0000,1.0993
Mt Albert,34.0581,34.1045,23.9489,3.8257,0.0000,0.0000,3.3955,0.6673
Mt Roskill,44.3447,39.9156,9.5690,6.1707,0.0000,0.0000,0.0000,0.0000
Napier,53.4963,31.2076,5.4790,3.0397,4.3256,0.0000,0.0000,2.4518
Nelson,41.6786,41.7404,6.6414,6.4059,0.0000,0.0000,0.0000,3.5337
New Lynn,39.9146,37.3693,13.5075,5.7814,0.0000,0.0000,0.0000,3.4271
New Plymouth,52.9211,36.4655,0.0000,4.6064,0.0000,0.0000,0.0000,6.0070
North Shore,61.6032,21.1894,9.0653,5.1006,0.0000,0.0000,3.0416,0.0000
Northcote,54.9273,30.4559,8.8197,2.5395,2.7666,0.0000,0.0000,0.4910
Northland,35.8825,22.4596,5.3453,4.7080,17.9567,0.0000,0.0000,13.6478
Ōhāriu,38.4970,41.4719,10.4170,1.7920,0.0000,0.0000,7.0241,0.7980
Ōtaki,50.9725,36.5382,6.7810,3.0544,0.0000,0.0000,0.0000,2.6539
Pakuranga,72.4716,20.5297,0.0000,3.6035,0.0000,0.0000,0.0000,3.3952
Palmerston North,34.9937,43.8107,9.0312,8.1144,0.0000,0.0000,0.0000,4.0500
Panmure-Ōtāhuhu,25.5481,53.1088,14.9111,4.2811,0.0000,0.0000,0.0000,2.1509
Papakura,58.7237,25.7947,0.0000,7.6020,4.2090,0.0000,0.0000,3.6707
Port Waikato,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Rangitata,56.9686,29.8590,4.4591,0.0000,5.3964,0.0000,0.0000,3.3168
Rangitīkei,46.9645,22.7076,7.8163,14.6608,7.8510,0.0000,0.0000,0.0000
Remutaka,32.7369,54.2435,6.7829,3.0613,0.0000,0.0000,0.0000,3.1754
Rongotai,20.9356,33.0175,39.4858,2.8068,2.0474,0.0000,0.0000,1.7069
Rotorua,53.9834,29.0755,0.0000,4.8347,0.0000,7.6234,0.0000,4.4830
Selwyn,66.2183,24.6385,0.0000,5.9316,0.0000,0.0000,0.0000,3.2117
Southland,59.5590,15.4339,9.8962,7.1965,0.0000,0.0000,0.0000,7.9144
Taieri,36.3934,39.8629,9.3724,4.0803,7.3792,0.0000,0.0000,2.9118
Takanini,57.9245,34.7531,0.0000,5.3789,0.0000,0.0000,0.0000,1.9435
Tāmaki,33.4841,21.9186,0.0000,43.6466,0.0000,0.0000,0.0000,0.9508
Taranaki-King Country,62.6820,26.3411,0.0000,0.0000,0.0000,0.0000,0.0000,10.9769
Taupō,57.8308,19.4328,8.0053,6.5327,4.9181,0.0000,0.0000,3.2803
Tauranga,46.3594,23.4728,6.6657,9.2597,8.3120,1.4973,0.0000,4.4332
Te Atatū,39.0449,39.4084,9.7564,6.9538,0.0000,3.4991,0.0000,1.3375
Tukituki,54.1738,29.2372,5.8731,4.9686,0.0000,0.0000,0.0000,5.7474
Upper Harbour,53.5029,25.6489,7.5110,5.7565,3.3100,0.0000,2.7600,1.5107
Waikato,65.5059,21.2354,0.0000,0.0000,8.5615,0.0000,3.6948,1.0025
Waimakariri,58.2539,29.9915,0.0000,4.4881,0.0000,0.0000,0.0000,7.2665
Wairarapa,46.1135,39.7208,4.1589,4.3292,0.0000,1.1737,0.0000,4.5040
Waitaki,51.7919,24.0378,7.9829,5.6577,4.1639,0.0000,0.0000,6.3658
Wellington Central,25.5817,27.3927,40.8222,0.0000,1.0915,0.0000,3.4404,1.6715
West Coast-Tasman,32.0166,29.5716,6.5947,6.0586,4.3251,0.0000,0.0000,21.4334
Whanganui,47.7265,33.4943,5.2906,4.3456,8.1050,0.0000,0.0000,1.0380
Whangaparāoa,66.4577,15.9237,7.5382,5.4520,0.0000,0.0000,0.0000,4.6284
Whangārei,48.7784,22.0431,6.2719,2.8598,12.5696,2.0103,0.0000,5.4669
Wigram,38.9676,42.1556,10.2212,4.1101,0.0000,0.0000,0.0000,4.5455
Hauraki-Waikato,0.0000,41.4603,0.0000,0.0000,0.0000,53.4957,0.0000,5.0440
Ikaroa-Rāwhiti,0.0000,54.1071,0.0000,0.0000,0.0000,42.7953,0.0000,3.0976
Tāmaki Makaurau,5.0750,39.9077,11.6427,0.0000,0.0000,40.0748,0.0000,3.2998
Te Tai Hauāuru,5.5455,27.9079,0.0000,0.0000,0.0000,63.7895,0.0000,2.7571
Te Tai Tokerau,0.0000,36.8548,15.5697,0.0000,0.0000,38.7773,0.0000,8.7982
Te Tai Tonga,0.0000,37.7509,0.0000,0.0000,0.0000,48.4075,0.0000,13.8415
Waiariki,0.0000,19.9070,0.0000,0.0000,0.0000,76.3061,0.0000,3.7869
