electorate_name,region_name
"Auckland Central","Auckland Region"
"Banks Peninsula","Canterbury Region"
"Botany","Auckland Region"
"Christchurch Central","Canterbury Region"
"Christchurch East","Canterbury Region"
"Coromandel","Waikato Region"
"Dunedin","Otago Region"
"East Cape","Gisborne Region"
"East Coast Bays","Auckland Region"
"Epsom","Auckland Region"
"Glendene","Auckland Region"
"Hamilton East","Waikato Region"
"Hamilton West","Waikato Region"
"Henderson","Auckland Region"
"Hutt South","Wellington Region"
"Ilam","Canterbury Region"
"Invercargill","Southland Region"
"Kaikōura","Marlborough Region"
"Kaipara ki Mahurangi","Auckland Region"
"Kapiti","Wellington Region"
"Kenepuru","Wellington Region"
"Manurewa","Auckland Region"
"Maungakiekie","Auckland Region"
"Mt Albert","Auckland Region"
"Mt Maunganui","Bay of Plenty Region"
"Mt Roskill","Auckland Region"
"Māngere","Auckland Region"
"Napier","Hawke's Bay Region"
"Nelson","Nelson Region"
"New Plymouth","Taranaki Region"
"North Shore","Auckland Region"
"Northcote","Auckland Region"
"Northland","Northland Region"
"Pakuranga","Auckland Region"
"Palmerston North","Manawatū-Whanganui Region"
"Papakura","Auckland Region"
"Port Waikato","Waikato Region"
"Rangitata","Canterbury Region"
"Rangitīkei","Manawatū-Whanganui Region"
"Remutaka","Wellington Region"
"Rotorua","Bay of Plenty Region"
"Selwyn","Canterbury Region"
"Southland","Southland Region"
"Taieri","Otago Region"
"Takanini","Auckland Region"
"Taranaki-King Country","Taranaki Region"
"Taupō","Waikato Region"
"Tauranga","Bay of Plenty Region"
"Tukituki","Hawke's Bay Region"
"Tāmaki","Auckland Region"
"Upper Harbour","Auckland Region"
"Waikato","Waikato Region"
"Waimakariri","Canterbury Region"
"Wairarapa","Wellington Region"
"Waitaki","Otago Region"
"Waitākere","Auckland Region"
"Wellington Bays","Wellington Region"
"Wellington North","Wellington Region"
"West Coast-Tasman","Tasman Region"
"Whanganui","Manawatū-Whanganui Region"
"Whangaparāoa","Auckland Region"
"Whangārei","Northland Region"
"Wigram","Canterbury Region"
"Ōtāhuhu","Auckland Region"
