Electorate name,National Party percentage,Labour Party percentage,Green percentage,ACT percentage,NZ First percentage,Māori percentage,TOP percentage,Others percentage
Auckland Central,33.2156,22.6921,24.0347,9.3307,3.8188,1.5914,3.5333,1.7836
Banks Peninsula,31.9599,26.6349,19.6998,7.9077,5.3633,0.7829,4.8447,2.8068
Bay of Plenty,47.1970,17.3920,7.9974,11.4670,8.7059,1.2695,1.9669,4.0042
Botany,59.0395,20.4630,5.8724,7.4015,3.0158,0.4991,1.1654,2.5433
Christchurch Central,31.2497,28.6143,19.5163,6.6667,5.2230,1.0204,5.1449,2.5649
Christchurch East,28.7061,34.3664,14.5349,7.1355,6.8538,1.0629,3.4295,3.9110
Coromandel,43.0905,19.6686,7.8308,11.9167,10.4389,0.7720,1.0855,5.1970
Dunedin,22.7068,30.9596,26.9344,5.7873,5.6367,1.4421,4.2581,2.2749
East Coast,36.9431,29.8706,7.4714,8.9186,9.6546,2.2674,1.1399,3.7345
East Coast Bays,57.7973,14.6779,8.8899,9.6911,3.9340,0.3518,1.6588,2.9993
Epsom,51.6877,14.6689,13.5881,12.4383,2.6130,0.7378,3.2249,1.0413
Hamilton East,42.8500,24.8548,12.3476,8.0738,5.0092,1.4787,2.7218,2.6642
Hamilton West,41.3724,26.4405,9.9726,8.7722,6.2216,1.8355,2.4964,2.8888
Hutt South,34.0486,32.4697,15.5054,5.7462,5.2023,1.3392,3.3376,2.3510
Ilam,43.1875,21.9842,14.9601,8.3172,4.0428,0.6196,4.9992,1.8893
Invercargill,42.8472,25.6356,6.2345,10.6055,7.4268,0.7432,1.2886,5.2186
Kaikōura,41.2051,20.7778,7.8257,14.0943,9.1061,0.5126,1.6762,4.8022
Kaipara ki Mahurangi,47.7806,17.0178,9.6004,12.1058,6.6681,0.6807,1.8407,4.3058
Kelston,31.2429,37.2808,14.0895,5.9542,4.7274,1.7683,1.9448,2.9920
Mana,28.8277,38.2079,15.0222,5.3676,5.2841,1.8894,2.7625,2.6385
Māngere,19.2473,61.3966,7.8473,2.1235,3.3111,2.1371,0.9256,3.0116
Manurewa,29.4149,52.1741,5.9344,2.6917,3.4631,2.1106,0.5978,3.6134
Maungakiekie,41.6109,27.3069,13.8304,7.9767,3.8421,0.9361,2.6524,1.8444
Mt Albert,32.0494,26.0840,25.2819,6.7625,3.0748,1.6168,3.7180,1.4125
