electorate_name,electorate_type,Total_valid_party_votes,ACT NEW ZEALAND_votes,ACT NEW ZEALAND_share,ANIMAL JUSTICE PARTY_votes,ANIMAL JUSTICE PARTY_share,AOTEAROA LEGALISE CANNABIS PARTY_votes,AOTEAROA LEGALISE CANNABIS PARTY_share,DEMOCRACYNZ_votes,DEMOCRACYNZ_share,FREEDOMS NZ_votes,FREEDOMS NZ_share,GREEN PARTY_votes,GREEN PARTY_share,LABOUR PARTY_votes,LABOUR PARTY_share,LEIGHTON BAKER_votes,LEIGHTON BAKER_share,NATIONAL PARTY_votes,NATIONAL PARTY_share,NEW CONSERVATIVES_votes,NEW CONSERVATIVES_share,NEW NATION PARTY_votes,NEW NATION PARTY_share,NEW ZEALAND FIRST PARTY_votes,NEW ZEALAND FIRST PARTY_share,NEWZEAL_votes,NEWZEAL_share,NZ LOYAL_votes,NZ LOYAL_share,TE PĀTI MĀORI_votes,TE PĀTI MĀORI_share,THE OPPORTUNITIES PARTY (TOP)_votes,THE OPPORTUNITIES PARTY (TOP)_share,WOMEN’S RIGHTS PARTY_votes,WOMEN’S RIGHTS PARTY_share
Auckland Central,general,41532.166558750105,3707.59356701851,0.08927041072547622,63.033180016603524,0.0015176954452265031,162.22481957807872,0.003906004261747351,35.426404144621465,0.0008529871441815678,53.7885068879212,0.0012951047668518247,10529.785991535948,0.2535332698485845,9651.035343563588,0.2323749552027712,3.4008702159672346,8.188521085593909e-05,13230.806364890786,0.3185676900860662,30.971131524902393,0.000745714324368116,27.656339234730233,0.0006659016739617578,1518.581051777152,0.03656397384492366,45.41248395693009,0.0010934292072793989,242.000086944515,0.005826811047822156,683.0925739429771,0.016447313746002046,1489.397329131687,0.03586129625635667,57.96051438518387,0.0013955572075247927
Banks Peninsula,general,49559.0,3919.0,0.07907746322565024,111.0,0.0022397546358885368,182.0,0.003672390484069493,146.0,0.0029459835751326703,61.0,0.0012308561512540607,9763.0,0.1969975181097278,13200.0,0.2663491999435017,53.0,0.0010694323937125447,15839.0,0.3195988619625093,62.0,0.0012510341209467503,22.0,0.00044391533323916946,2658.0,0.05363304344316875,323.0,0.006517484210738715,389.0,0.007849230210456224,388.0,0.007829052240763534,2401.0,0.04844730523214754,42.0,0.0008474747270929599
Botany,general,41662.36146707984,3695.108865576329,0.08869177683305533,93.19989657465794,0.0022370286583083218,101.25584268541431,0.0024303913441253966,31.1614267273512,0.000747951523390576,116.34213723515133,0.0027924998281021796,2349.081650875195,0.05638378546380186,5961.607751182193,0.1430933711209061,8.373485186228564,0.00020098441114157684,26767.069701286513,0.6424760565345516,82.31786275378317,0.001975832858606152,35.250634248698915,0.0008461026453469938,1302.1580569414143,0.03125502278526229,158.0211135984161,0.003792898626816411,314.21548722192654,0.007541950963826397,114.67845669384249,0.0027525673690978235,507.9140070650933,0.01219119582231145,24.60509122763099,0.0005905832113494835
Christchurch Central,general,42337.56141614084,2777.183301095836,0.06559620365940724,115.98490368113272,0.0027395272614098754,179.28446369828933,0.004234643132514917,82.98628489656946,0.001960110174530072,68.25217435063011,0.0016120950774602136,8464.09347348686,0.19991924877987888,12227.551575095898,0.2888109557116402,50.30617215095501,0.001188216100981579,12896.054228637222,0.3046007799523548,81.79755743911295,0.0019320328026244875,34.932934272457345,0.00082510501559354,2211.9251795876517,0.05224498307416388,125.32458740826081,0.002960127678975905,264.57093241387645,0.006249082931663868,421.15289959681814,0.009947500175016154,2275.5245824022463,0.053747181138654856,60.63616592701735,0.0014322073331294969
Christchurch East,general,41410.69491600564,2935.600875266191,0.0708899206164143,123.84182840131422,0.002990575952722014,238.52539050887708,0.005759994875543242,112.108849890682,0.002707243868234407,122.492596026446,0.002957994215622337,6057.7227524374275,0.14628401587378478,14211.31670500362,0.34317986534224537,125.0081143776043,0.003018739835956905,11888.658115369562,0.2870914902414371,183.20139653802195,0.004424011645050004,25.80592870209372,0.0006231706266807775,2819.454106371142,0.06808516766236143,217.27598130209932,0.00524685668141541,431.22513419420847,0.010413375942347099,445.26244638624723,0.010752353885617818,1423.2369002997486,0.03436882436255987,49.957794930355774,0.0012063983720071937
Coromandel,general,46892.0,5588.0,0.11916744860530581,51.0,0.0010876055617162843,185.0,0.003945235861127698,99.0,0.002111234325684552,126.0,0.0026870255054167024,3672.0,0.07830760044357246,9223.0,0.19668600187665272,32.0,0.000682419175978845,20206.0,0.43090505843214194,43.0,0.000917000767721573,19.0,0.0004051863857374392,4895.0,0.10438880832551395,270.0,0.005757911797321505,1580.0,0.033694446813955475,362.0,0.007719866928260684,509.0,0.010854730017913504,32.0,0.000682419175978845
Dunedin,general,42507.0,2460.0,0.057872820947138116,57.0,0.001340955607311737,159.0,0.0037405603782906345,25.0,0.0005881384242595337,44.0,0.0010351236266967793,11449.0,0.26934387277389604,13160.0,0.30959606653021854,19.0,0.00044698520243724563,9652.0,0.22706848283812078,94.0,0.002211400475215847,18.0,0.0004234596654668643,2396.0,0.056367186581033714,114.0,0.002681911214623474,402.0,0.009457265862093302,613.0,0.014421154162843767,1810.0,0.042581221916390244,35.0,0.0008233937939633472
East Cape,general,40354.0,3599.0,0.08918570649749714,43.0,0.0010655697080834614,164.0,0.00406403330524855,199.0,0.004931357486246716,178.0,0.004410962977647817,3015.0,0.07471378302027061,12054.0,0.29870644793576845,29.0,0.0007186400356841948,14908.0,0.36943053972344747,56.0,0.0013877186895970659,20.0,0.0004956138177132378,3896.0,0.09654557169053873,247.0,0.006120830648758488,546.0,0.013530257223571393,915.0,0.02267433216038063,460.0,0.01139911780740447,25.0,0.0006195172721415473
East Coast Bays,general,36901.922622836464,3606.5073563541655,0.09773223452921954,62.0358296441611,0.0016811002038622973,102.55072904267804,0.0027790077522740057,35.65681705659412,0.0009662590597523009,48.01582029636411,0.0013011739466021724,3312.9228503376485,0.08977642938006358,5427.232776067665,0.14707181605516306,6.240306881132302,0.00016910519662925467,21202.160458869337,0.5745543579279131,47.18824065951048,0.0012787474826666187,23.854822020679677,0.0006464384597109666,1456.3985115244836,0.0394667379911312,400.37686734660554,0.010849756296947939,390.16981965316734,0.010573156950139877,134.2192913425814,0.003637189658500906,615.0763407326131,0.016667867065332197,31.315785007079317,0.0008486220440909978
Epsom,general,43091.91444513115,5318.47584126382,0.12342166528794689,47.52193644997596,0.0011028040193128469,74.57790587983557,0.001730670517662785,17.689528905427046,0.00041050691604688596,34.97252160283621,0.000811579667628057,6050.687683859391,0.14041352680126848,6402.782232468266,0.14858430670609715,2.0538666086836597,4.766245907451719e-05,21992.098059255353,0.5103532377810192,29.08340447508526,0.0006749155810219827,5.31234036464362,0.00012327928413131452,1123.947295508849,0.026082556553387037,79.37099364304294,0.0018418999170739063,130.99312598459755,0.0030398539417734816,335.9806508064926,0.007796837414459645,1418.3763416746256,0.032915138720064095,27.99071638022643,0.0006495584320317668
Glendene,general,33333.114930785625,2001.9520976492213,0.060058956440349615,51.52681351314192,0.0015458145336892308,123.6173513017177,0.0037085448377207567,59.86622549976997,0.0017959985325127544,93.23860523935802,0.002797176484494859,4509.865470022167,0.13529685057597088,11939.973315107143,0.3582015464171242,10.64075295850832,0.00031922468033975394,11200.991603761937,0.33603194981987666,65.82846550222018,0.001974866904545506,14.181511096265174,0.00042544812045655796,1499.7059219557818,0.044991472446239675,305.2912256244531,0.0091587967778701,223.9815529790486,0.0067194906159875525,567.2682449560812,0.017018158852959958,636.1002515519228,0.019083132580700903,29.085522066891293,0.0008725713791611067
Hamilton East,general,38210.0,3085.0,0.08073802669458258,69.0,0.001805809997382884,110.0,0.0028788275320596702,39.0,0.0010206752159120649,80.0,0.002093692750588851,4718.0,0.12347552996597749,9497.0,0.248547500654279,25.0,0.0006542789845590159,16373.0,0.42850039256739075,91.0,0.0023815755037948183,19.0,0.0004972520282648522,1914.0,0.05009159905783826,204.0,0.0053389165140015704,341.0,0.008924365349384978,565.0,0.014786705051033761,1040.0,0.027218005757655064,40.0,0.0010468463752944255
Hamilton West,general,38736.0,3398.0,0.08772201569599339,94.0,0.002426683188764973,169.0,0.004362866584056175,55.0,0.0014198678232135481,141.0,0.0036400247831474596,3863.0,0.09972635274679885,10242.0,0.26440520446096655,17.0,0.00043886823626600576,16026.0,0.41372366790582404,97.0,0.002504130524576621,24.0,0.0006195786864931846,2410.0,0.06221602643535729,163.0,0.004207971912432879,322.0,0.008312680710450228,711.0,0.018355018587360595,967.0,0.024963857909954566,37.0,0.0009551838083436597
Henderson,general,33283.893805059866,1996.0138105527915,0.059969360022695255,57.937819718361034,0.001740716397477306,137.39024483208647,0.004127829683533007,41.55745611882081,0.001248575553155478,107.99677030446469,0.0032447156254310264,3210.8131746007593,0.0964674744309107,12039.532367172,0.36172247266759794,14.664913045312833,0.00044060088435576763,12509.133343957863,0.3758314281743143,67.38401080931348,0.002024523068243586,20.003116092021184,0.0006009848549925454,1487.8412752864679,0.044701538948555476,300.91420317690165,0.009040835334330873,262.9003024254217,0.007898724348935859,532.1772604645857,0.015989032520698745,459.45961097514447,0.013804262616211592,38.17412552754949,0.0011469248685604869
Hutt South,general,44768.64343217682,2590.7205215615927,0.05786908699805609,77.29089580844685,0.0017264515938603387,151.76344162280736,0.003389949526898766,53.879502785000845,0.0012035098375635775,102.89935238969005,0.0022984692968322697,6989.898524219619,0.15613380232995244,14325.719236962059,0.31999449031027943,21.76794425701754,0.00048623193798568717,15415.340596619957,0.3443334310536737,50.67610018961342,0.0011319552326035124,1.9295376141395955,4.3100202869957145e-05,2292.698479385961,0.0512121499249655,200.80503852154416,0.0044853947568404195,323.4091419868214,0.007224010315987724,604.3789413364833,0.013500050370123447,1531.9901086588036,0.034220159272409574,33.47606825726133,0.0007477570390976129
Ilam,general,43636.86229507423,3610.9103157245686,0.0827490824456499,50.803580860529046,0.0011642354236423595,183.85971654163606,0.004213403688339671,102.52764084398468,0.00234956491946393,51.88839546319193,0.0011890954741961164,6516.246097763041,0.14932893326976449,9640.373304912318,0.22092269695570052,28.44655154707,0.0006518926900544147,18809.963688010837,0.4310567419081854,99.21661765765097,0.0022736881718658916,25.43491127046709,0.0005828767224021561,1785.4375148573013,0.040915808812835824,88.15747957266441,0.0020202524869120967,153.25615580086577,0.003512080102472571,271.24985410707245,0.006216071455203859,2170.3230828978367,0.049736002286828604,48.7673872431893,0.0011175731864821593
Invercargill,general,37688.94994563107,4014.7202846943433,0.10652247649472474,68.21456827347981,0.001809935494936422,236.82941043983985,0.006283789035817732,48.112897059667716,0.0012765783373926286,137.30636570000132,0.003643146489835225,2343.4190920081573,0.062177882254313324,9619.860603279118,0.2552435293940647,32.13690150899216,0.0008526876327239648,16194.09962806728,0.42967765489429643,54.16223262349236,0.0014370852120216971,29.017975776261824,0.0007699332514735027,2795.017928514167,0.07416014329256121,212.59779218807415,0.005640852093113797,1102.5781249589886,0.029254678799741942,279.24695104251424,0.0074092526176862804,483.52720448992943,0.012829415655980095,38.10198500676625,0.0010109590493163382
